         4         1  0.50000000000000E+01
         8         2  0.50000000000000E+01
        12         3  0.50000000000000E+01
        16         4  0.50000000000000E+01
        20         5  0.50000000000000E+01
        24         6  0.50000000000000E+01
        28         7  0.50000000000000E+01
        32         8  0.50000000000000E+01
        36         9  0.50000000000000E+01
        40        10  0.50000000000000E+01
        44        11  0.50000000000000E+01
        48        12  0.50000000000000E+01
        52        13  0.50000000000000E+01
        56        14  0.50000000000000E+01
        60        15  0.50000000000000E+01
        64        16  0.50000000000000E+01
        68        17  0.50000000000000E+01
        72        18  0.50000000000000E+01
        76        19  0.50000000000000E+01
        80        20  0.50000000000000E+01
        84        21  0.50000000000000E+01
        88        22  0.50000000000000E+01
        92        23  0.50000000000000E+01
        96        24  0.50000000000000E+01
       100        25  0.50000000000000E+01
       104        26  0.50000000000000E+01
       108        27  0.50000000000000E+01
       112        28  0.50000000000000E+01
       116        29  0.50000000000000E+01
       120        30  0.50000000000000E+01
       124        31  0.50000000000000E+01
       128        32  0.50000000000000E+01
       132        33  0.50000000000000E+01
       136        34  0.50000000000000E+01
       140        35  0.50000000000000E+01
       144        36  0.50000000000000E+01
       148        37  0.50000000000000E+01
       152        38  0.50000000000000E+01
       156        39  0.50000000000000E+01
       160        40  0.50000000000000E+01
       164        41  0.50000000000000E+01
       168        42  0.50000000000000E+01
       172        43  0.50000000000000E+01
       176        44  0.50000000000000E+01
       180        45  0.50000000000000E+01
       184        46  0.50000000000000E+01
       188        47  0.50000000000000E+01
       192        48  0.50000000000000E+01
       196        49  0.50000000000000E+01
       200        50  0.50000000000000E+01
       204        51  0.50000000000000E+01
       208        52  0.50000000000000E+01
       212        53  0.50000000000000E+01
       216        54  0.50000000000000E+01
       220        55  0.50000000000000E+01
       224        56  0.50000000000000E+01
       228        57  0.50000000000000E+01
       232        58  0.50000000000000E+01
       236        59  0.50000000000000E+01
       240        60  0.50000000000000E+01
       244        61  0.50000000000000E+01
       248        62  0.50000000000000E+01
       252        63  0.50000000000000E+01
       256        64  0.50000000000000E+01
       260        65  0.50000000000000E+01
       264        66  0.50000000000000E+01
       268        67  0.50000000000000E+01
       272        68  0.50000000000000E+01
       276        69  0.50000000000000E+01
       280        70  0.50000000000000E+01
       284        71  0.50000000000000E+01
       288        72  0.50000000000000E+01
       292        73  0.50000000000000E+01
       296        74  0.50000000000000E+01
       300        75  0.50000000000000E+01
       304        76  0.50000000000000E+01
       308        77  0.50000000000000E+01
       312        78  0.50000000000000E+01
       316        79  0.50000000000000E+01
       320        80  0.50000000000000E+01
       324        81  0.50000000000000E+01
       328        82  0.50000000000000E+01
       332        83  0.50000000000000E+01
       336        84  0.50000000000000E+01
       340        85  0.50000000000000E+01
       344        86  0.50000000000000E+01
       348        87  0.50000000000000E+01
       352        88  0.50000000000000E+01
       356        89  0.50000000000000E+01
       360        90  0.50000000000000E+01
       364        91  0.50000000000000E+01
       368        92  0.50000000000000E+01
       372        93  0.50000000000000E+01
       376        94  0.50000000000000E+01
       380        95  0.50000000000000E+01
       384        96  0.50000000000000E+01
       388        97  0.50000000000000E+01
       392        98  0.50000000000000E+01
       396        99  0.50000000000000E+01
       400       100  0.50000000000000E+01
       404       101  0.50000000000000E+01
       408       102  0.50000000000000E+01
       412       103  0.50000000000000E+01
       416       104  0.50000000000000E+01
       420       105  0.50000000000000E+01
       424       106  0.50000000000000E+01
       428       107  0.50000000000000E+01
       432       108  0.50000000000000E+01
       436       109  0.50000000000000E+01
       440       110  0.50000000000000E+01
       444       111  0.50000000000000E+01
       448       112  0.50000000000000E+01
       452       113  0.50000000000000E+01
       456       114  0.50000000000000E+01
       460       115  0.50000000000000E+01
       464       116  0.50000000000000E+01
       468       117  0.50000000000000E+01
       472       118  0.50000000000000E+01
       476       119  0.50000000000000E+01
       480       120  0.50000000000000E+01
       484       121  0.50000000000000E+01
       488       122  0.50000000000000E+01
       492       123  0.50000000000000E+01
       496       124  0.50000000000000E+01
       500       125  0.50000000000000E+01
       504       126  0.50000000000000E+01
       508       127  0.50000000000000E+01
       512       128  0.50000000000000E+01
       516       129  0.50000000000000E+01
       520       130  0.50000000000000E+01
       524       131  0.50000000000000E+01
       528       132  0.50000000000000E+01
       532       133  0.50000000000000E+01
       536       134  0.50000000000000E+01
       540       135  0.50000000000000E+01
       544       136  0.50000000000000E+01
       548       137  0.50000000000000E+01
       552       138  0.50000000000000E+01
       556       139  0.50000000000000E+01
       560       140  0.50000000000000E+01
       564       141  0.50000000000000E+01
       568       142  0.50000000000000E+01
       572       143  0.50000000000000E+01
       576       144  0.50000000000000E+01
       580       145  0.50000000000000E+01
       584       146  0.50000000000000E+01
       588       147  0.50000000000000E+01
       592       148  0.50000000000000E+01
       596       149  0.50000000000000E+01
       600       150  0.50000000000000E+01
       604       151  0.50000000000000E+01
       608       152  0.50000000000000E+01
       612       153  0.50000000000000E+01
       616       154  0.50000000000000E+01
       620       155  0.50000000000000E+01
       624       156  0.50000000000000E+01
       628       157  0.50000000000000E+01
       632       158  0.50000000000000E+01
       636       159  0.50000000000000E+01
       640       160  0.50000000000000E+01
       644       161  0.50000000000000E+01
       648       162  0.50000000000000E+01
       652       163  0.50000000000000E+01
       656       164  0.50000000000000E+01
       660       165  0.50000000000000E+01
       664       166  0.50000000000000E+01
       668       167  0.50000000000000E+01
       672       168  0.50000000000000E+01
       676       169  0.50000000000000E+01
       680       170  0.50000000000000E+01
